Word,Character Count,value
manatee,7,59
manatees,8,78
mandarin,8,74
mandate,7,58
mandates,8,77
mandatory,9,111
mandrake,8,67
maneuver,8,99
maneuvered,10,108
maneuvering,11,129
maneuvers,9,118
manger,6,58
mangled,7,56
mangoes,7,74
mangos,6,69
mangy,5,60
manhandle,9,72
manhandled,10,76
manhattan,9,92
manhole,7,68
manhood,7,70
manhunt,7,91
maniac,6,41
maniacal,8,54
maniacs,7,60
manic,5,40
manicure,8,84
manicured,9,88
manicures,9,103
manifest,8,87
manifestations,14,165
manifested,10,96
manifesting,11,117
manifesto,9,102
manifests,9,106
manifold,8,74
manila,6,50
manipulate,10,112
manipulated,11,116
manipulates,11,131
manipulating,12,137
manipulation,12,145
manipulations,13,164
manipulative,12,143
manipulator,11,140
mankind,7,66
manly,5,65
manna,5,43
mannequin,9,108
mannequins,10,127
manner,6,65
mannered,8,74
manners,7,84
manning,7,72
mano,4,43
manor,5,61
manpower,8,105
mansion,7,85
mansions,8,104
manslaughter,12,139
mantel,6,65
manticore,9,98
mantis,6,76
mantle,6,65
mantra,6,67
manual,6,62
manually,8,99
manufacture,11,123
manufactured,12,127
manufacturer,12,141
manufactures,12,142
manufacturing,13,148
manure,6,72
manuscript,10,134
manuscripts,11,153
many,4,53
map,3,30
maple,5,47
mapped,6,55
mapping,7,76
maps,4,49
mar,3,32
marathon,8,90
marble,6,51
marbles,7,70
marc,4,35
marcel,6,52
march,5,43
marched,7,52
marches,7,67
marching,8,73
mare,4,37
margarita,9,88
margaritas,10,107
marge,5,44
margin,6,62
marginal,8,75
marginally,10,112
margins,7,81
maria,5,42
mariachi,8,62
marigold,8,79
marijuana,9,88
marina,6,56
marinate,8,81
marine,6,60
mariner,7,78
mariners,8,97
marines,7,79
marital,7,74
maritime,8,88
mark,4,43
marked,6,52
marker,6,66
markers,7,85
market,6,68
marketing,9,98
marketplace,11,105
markets,7,87
marking,7,73
markings,8,92
marks,5,62
marksmanship,12,142
marlin,6,67
marmalade,9,68
maroon,6,76
marooned,8,85
marquee,7,80
marquis,7,98
marriage,8,72
marriages,9,91
married,7,68
marries,7,83
marrow,6,88
marry,5,75
marrying,8,105
mars,4,51
marsh,5,59
marshal,7,72
marshall,8,84
marshmallow,11,135
marshmallows,12,154
mart,4,52
marten,6,71
martial,7,74
martin,6,75
martini,7,84
martinis,8,103
martins,7,94
martyr,6,95
martyrs,7,114
marvel,6,71
marveling,9,101
marvellous,10,138
marvelous,9,126
marzipan,8,98
mas,3,33
mascara,7,56
mascot,6,71
mascots,7,90
masculine,9,97
masculinity,11,146
mash,4,41
mashed,6,50
mask,4,44
masked,6,53
masking,7,74
masks,5,63
mason,5,62
masons,6,81
masquerade,10,104
masquerading,12,129
mass,4,52
massa,5,53
massacre,8,79
massacred,9,83
massacres,9,98
massage,7,65
massaged,8,69
massager,8,83
massages,8,84
massaging,9,90
masses,6,76
masseur,7,96
masseuse,8,102
massive,7,88
massively,9,125
mastectomy,10,134
master,6,76
mastered,8,85
mastermind,10,116
masterminded,12,125
masterpiece,11,114
masterpieces,12,133
masters,7,95
mastery,7,101
masturbated,11,124
masturbating,12,145
masturbation,12,153
mat,3,34
matador,7,72
match,5,45
matchbook,9,88
matched,7,54
matches,7,69
matching,8,75
matchmaker,10,93
matchmaking,11,100
mate,4,39
mated,5,43
material,8,79
materialistic,13,139
materialize,11,119
materialized,12,123
materials,9,98
maternal,8,84
maternity,9,125
mates,5,58
matey,5,64
math,4,42
mathematically,14,143
mathematician,13,117
mathematicians,14,136
mathematics,11,112
matinee,7,67
mating,6,64
matriarch,9,91
matrimonial,11,125
matrimony,9,128
matrix,6,85
matron,6,81
mats,4,53
matt,4,54
matted,6,63
matter,6,77
mattered,8,86
matters,7,96
mattress,8,115
mattresses,10,139
mature,6,78
matured,7,82
maturity,8,127
matzah,6,69
matzoh,6,83
maudlin,7,74
maul,4,47
mauled,6,56
mausoleum,9,120
maverick,8,82
mavis,5,64
maw,3,37
max,3,38
maxi,4,47
maxim,5,60
maximize,8,100
maximum,7,94
maxwell,7,90
may,3,39
maya,4,40
mayan,5,54
maybe,5,46
maybes,6,65
mayday,6,69
mayflower,9,118
mayflowers,10,137
mayhem,6,65
mayo,4,54
mayonnaise,10,116
mayor,5,72
mayoral,7,85
mayors,6,91
maze,4,45
me,2,18
mead,4,23
meadow,6,61
meadows,7,80
meager,6,49
meal,4,31
meals,5,50
mealy,5,56
mean,4,33
meaner,6,56
meanest,7,77
meanie,6,47
meaning,7,63
meaningful,10,102
meaningless,11,118
meanings,8,82
meanness,8,90
means,5,52
meant,5,53
meantime,8,80
meanwhile,9,90
measles,7,74
measly,6,75
measure,7,82
measured,8,86
measurements,12,153
measures,8,101
measuring,9,107
meat,4,39
meatball,8,66
meatballs,9,85
meathead,8,57
meatloaf,8,73
meats,5,58
meaty,5,64
mecca,5,25
mechanic,8,56
mechanical,10,69
mechanics,9,75
mechanism,9,85
mechanisms,10,104
med,3,22
medal,5,35
medals,6,54
meddle,6,43
meddled,7,47
meddlesome,10,95
meddling,8,68
medevac,7,53
media,5,32
mediator,8,85
medic,5,34
medicaid,8,48
medical,7,47
medically,9,84
medicare,8,58
medicate,8,60
medicating,10,85
medication,10,93
medications,11,112
medicine,8,62
medicines,9,81
medics,6,53
medieval,8,71
medina,6,46
mediocre,8,72
mediocrity,10,121
meditate,8,77
meditating,10,102
meditation,10,110
mediterranean,13,127
medium,6,65
medley,6,64
medusa,6,63
meet,4,43
meeting,7,73
meetings,8,92
meets,5,62
megaphone,9,84
mel,3,30
melancholy,10,108
melding,7,64
mellow,6,80
mellowed,8,89
mellowing,9,110
melodrama,9,82
melodramatic,12,114
melody,6,74
melon,5,59
melons,6,78
melt,4,50
meltdown,8,106
melted,6,59
melting,7,80
melts,5,69
member,6,56
members,7,75
membership,10,108
membrane,8,71
membranes,9,90
memento,7,85
mementos,8,104
memo,4,46
memoirs,7,92
memorabilia,11,98
memorable,9,84
memorial,8,86
memories,8,97
memorize,8,104
memorized,9,108
memorizing,10,129
memory,6,89
memos,5,65
men,3,32
menace,6,41
menacing,8,66
menage,6,45
menagerie,9,77
mend,4,36
mended,6,45
mending,7,66
menial,6,54
meningitis,10,119
menopausal,10,117
menopause,9,109
menorah,7,74
mensa,5,52
menstrual,9,123
mental,6,65
mentality,9,119
mentally,8,102
mention,7,90
mentioned,9,99
mentioning,10,120
mentions,8,109
mentor,6,85
menu,4,53
menus,5,72
meow,4,56
mercenaries,11,110
mercenary,9,102
mercer,6,62
merchandise,11,99
merchandising,13,124
merchant,8,82
merciful,8,87
mercilessly,11,140
mercury,7,103
mercy,5,64
mere,4,41
merely,6,78
merger,6,66
mergers,7,85
merging,7,73
meridian,8,73
meringue,8,92
merit,5,65
merits,6,84
merl,4,48
merle,5,53
merlot,6,83
mermaid,7,63
mermaids,8,82
merman,6,64
merrier,7,86
merrily,7,100
merry,5,79
mesa,4,38
mescaline,9,81
mesh,4,45
mesmerized,10,117
mesmerizing,11,138
mesquite,8,109
mess,4,56
message,7,69
messages,8,88
messed,6,65
messenger,9,105
messengers,10,124
messes,6,80
messier,7,88
messing,7,86
messy,5,81
met,3,38
meta,4,39
metabolic,9,80
metal,5,51
metallic,8,75
metals,6,70
metamorphosis,13,171
metaphor,8,96
metaphorical,12,121
metaphorically,14,158
metaphors,9,115
metaphysics,11,138
meteor,6,76
meteorite,9,110
meteors,7,95
meter,5,61
meters,6,80
meth,4,46
methadone,9,85
method,6,65
methodical,10,90
methodology,11,139
methods,7,84
meticulous,10,138
meticulously,12,175
metric,6,68
metro,5,71
metropolitan,12,158
mettle,6,75
mew,3,41
mezzanine,9,113
mi,2,22
mice,4,30
mick,4,36
mickey,6,66
micro,5,58
microbes,8,84
microchips,10,113
microfilm,9,98
microphone,10,116
microphones,11,135
microscope,10,116
microscopic,11,123
microwave,9,109
mid,3,26
middies,7,63
middle,6,47
middleman,9,75
middleweight,12,119
midge,5,38
midget,6,58
midgets,7,77
midland,7,57
midlife,7,58
midnight,8,84
midst,5,65
midterm,7,82
midterms,8,101
midtown,7,98
midway,6,75
midwestern,10,130
midwife,7,69
midwives,8,104
miffed,6,43
miggs,5,55
might,5,57
mightier,8,89
mighty,6,82
mignon,6,72
migraine,8,76
migrate,7,73
migration,9,106
mike,4,38
mikes,5,57
mil,3,34
mild,4,38
mildew,6,66
mildly,6,75
mile,4,39
mileage,7,52
miles,5,58
milestone,9,112
militant,8,98
militants,9,117
military,8,107
militia,7,73
milk,4,45
milked,6,54
milking,7,75
milkman,7,73
milky,5,70
mill,4,46
millennia,9,89
millennium,10,122
miller,6,69
millet,6,71
milligram,9,94
milligrams,10,113
millimeter,10,116
milling,7,76
million,7,84
millionaire,11,117
millionaires,12,136
millions,8,103
millisecond,11,115
mills,5,65
milo,4,49
milt,4,54
mime,4,40
mimes,5,59
mimic,5,47
mimicking,9,88
mimosas,7,89
mina,4,37
mince,5,44
mincemeat,9,83
mind,4,40
minded,6,49
mindful,7,79
minding,7,70
mindless,8,95
minds,5,59
mindset,7,84
mine,4,41
mined,5,45
minefield,9,77
miner,5,59
mineral,7,72
minerals,8,91
miners,6,78
mines,5,60
mingle,6,60
mini,4,45
miniature,9,110
minimal,7,71
minimalist,10,119
minimize,8,98
minimum,7,92
minimums,8,111
mining,6,66
minion,6,74
minions,7,93
miniscule,9,105
minister,8,107
ministers,9,126
ministry,8,127
minivan,7,82
mink,4,47
minks,5,66
minnow,6,88
minor,5,69
minorities,10,131
minority,8,123
minors,6,88
minstrel,8,110
mint,4,56
mints,5,75
minty,5,81
minus,5,76
minuscule,9,117
minuses,7,100
minute,6,82
minutes,7,101
miracle,7,61
miracles,8,80
miraculous,10,132
miraculously,12,169
mirage,6,53
mirror,6,91
mirrors,7,110
mirth,5,68
mis,3,41
misbehave,9,84
miscalculated,13,123
miscalculation,14,152
miscarriage,11,103
miscarry,8,106
miscellaneous,13,148
mischief,8,72
miscommunication,16,191
misconception,13,155
misconceptions,14,174
misconstrued,12,160
miscreant,9,102
misdeeds,8,78
misdemeanors,12,135
miserable,9,84
miserably,9,104
misery,6,89
misfit,6,76
misfits,7,95
misfortune,10,140
misgivings,10,128
misguided,9,91
mishandled,10,89
mishap,6,66
misheard,8,77
misinformed,11,125
misinterpret,12,166
misinterpretation,17,225
misinterpreted,14,175
misinterpreting,15,196
misjudged,9,92
mislead,7,63
misleading,10,93
misled,6,62
mismatched,10,95
misnomer,8,106
misogynistic,12,162
misplace,8,78
misplaced,9,82
misprint,8,118
misread,7,69
misreading,10,99
miss,4,60
missed,6,69
misses,6,84
missile,7,86
missiles,8,105
missing,7,90
mission,7,98
missionaries,12,150
missionary,10,142
missions,8,117
missis,6,88
misspelled,10,114
misspent,8,115
misspoke,8,107
missus,6,100
missy,5,85
mist,4,61
mistake,7,78
mistaken,8,92
mistakes,8,97
mister,6,84
mistletoe,9,118
mistook,7,102
mistreated,10,114
mistress,8,122
mistresses,10,146
mistrial,8,101
mistrust,8,139
misty,5,86
misunderstand,13,161
misunderstanding,16,191
misunderstandings,17,210
misunderstood,13,176
misuse,6,86
mite,4,47
mites,5,66
mitt,4,62
mitten,6,81
mittens,7,100
mitts,5,81
mitzvah,7,99
mix,3,46
mixed,5,55
mixer,5,69
mixers,6,88
mixes,5,70
mixing,6,76
mixture,7,110
mixup,5,83
mm,2,26
mo,2,28
moan,4,43
moaning,7,73
moans,5,62
moat,4,49
mob,3,30
mobile,6,56
mobility,8,105
mobilize,8,91
mobs,4,49
mobster,7,92
mocha,5,40
mock,4,42
mocked,6,51
mockery,7,90
mocking,7,72
mocks,5,61
mod,3,32
mode,4,37
model,5,49
modeled,7,58
modeling,8,79
modelling,9,91
models,6,68
modem,5,50
moderately,10,118
moderation,10,114
moderator,9,109
modern,6,69
modest,6,76
modesty,7,101
modicum,7,78
modification,12,118
modifications,13,137
modified,8,65
module,6,70
modus,5,72
mohair,6,64
mohel,5,53
moil,4,49
moist,5,76
moisture,8,120
moisturize,10,155
moisturizer,11,173
mojo,4,53
mol,3,40
molars,6,78
molasses,8,103
mold,4,44
molded,6,53
molding,7,74
moldings,8,93
molds,5,63
moldy,5,69
mole,4,45
molecular,9,100
molecule,8,86
molecules,9,105
moles,5,64
molest,6,84
molestation,11,143
molested,8,93
molester,8,107
molesting,9,114
moll,4,52
mollie,6,66
mollusk,7,103
molly,5,77
moloch,6,66
molten,6,79
molto,5,75
moly,4,65
mom,3,41
moment,6,80
momentarily,11,145
momentary,9,124
momento,7,95
moments,7,99
momentum,8,114
momma,5,55
mommies,7,87
mommy,5,79
moms,4,60
mon,3,42
monarchs,8,91
monarchy,8,97
monastery,9,130
monde,5,51
mondo,5,61
monetary,8,111
money,5,72
moneybags,9,101
moneymaker,10,120
moneys,6,91
monger,6,72
mongoloid,9,104
mongoose,8,103
mongrel,7,84
moniker,7,85
monitor,7,104
monitored,9,113
monitoring,10,134
monitors,8,123
monk,4,53
monkey,6,83
monkeys,7,102
monks,5,72
mono,4,57
monogamous,10,133
monogamy,8,103
monogrammed,11,118
monologue,9,117
monopolizing,12,165
monopoly,8,125
monoxide,8,99
monsieur,8,114
monsignor,9,124
monsoon,7,105
monster,7,104
monsters,8,123
monstrous,9,154
montage,7,75
monte,5,67
month,5,70
monthly,7,107
months,6,89
monument,8,115
monumental,10,128
monumentally,12,165
moo,3,43
mooch,5,54
moocher,7,77
mood,4,47
moods,5,66
moody,5,72
moola,5,56
moon,4,57
moonbeams,9,97
moonlight,9,113
moonlighting,12,143
moonlit,7,98
moons,5,76
moors,5,80
moose,5,67
moot,4,63
mop,3,44
mope,4,49
moped,5,53
mopes,5,68
mopey,5,74
moping,6,74
mopped,6,69
mopping,7,90
mops,4,63
mor,3,46
moral,5,59
morale,6,64
morales,7,83
morality,8,113
morally,7,96
morals,6,78
morbid,6,61
more,4,51
morello,7,90
moreover,8,111
morgan,6,68
morgue,6,79
morgues,7,98
morn,4,60
morning,7,90
mornings,8,109
morocco,7,82
moron,5,75
moronic,7,87
morons,6,94
morph,5,70
morphine,8,98
morris,6,92
morrow,6,102
morse,5,70
morsel,6,82
mort,4,66
mortal,6,79
mortality,9,133
mortals,7,98
mortar,6,85
mortars,7,104
mortgage,8,86
mortgages,9,105
mortified,9,99
mortifying,10,136
mortuary,8,131
mosey,5,77
mosque,6,90
mosquito,8,129
mosquitoes,10,153
mosquitos,9,148
moss,4,66
most,4,67
mostly,6,104
mote,4,53
motel,5,65
motels,6,84
moth,4,56
mothballs,9,102
mother,6,79
motherfucker,12,143
motherfuckers,13,162
motherfucking,13,150
motherhood,10,121
mothering,9,109
motherless,10,134
mothers,7,98
moths,5,75
motif,5,63
motion,6,86
motions,7,105
motivate,8,105
motivated,9,109
motivates,9,124
motivation,10,138
motivational,12,151
motivations,11,157
motive,6,84
motives,7,103
motley,6,90
motor,5,81
motorbike,9,108
motorcade,9,94
motorcycle,10,129
motorcycles,11,148
motorized,9,125
motors,6,100
motto,5,83
mould,5,65
moulin,6,84
mound,5,67
mounds,6,86
mount,5,83
mountain,8,107
mountaineer,11,135
mountains,9,126
mountainside,12,144
mountaintop,11,158
mounted,7,92
mounting,8,113
mourn,5,81
mourned,7,90
mourners,8,123
mourning,8,111
mouse,5,73
mousey,6,98
mousse,6,92
moustache,9,105
mousy,5,93
mouth,5,77
mouthed,7,86
mouthful,8,116
mouthing,8,107
mouthpiece,10,115
mouths,6,96
mouthwash,9,128
mouthy,6,102
move,4,55
moved,5,59
movement,8,107
movements,9,126
movers,6,92
moves,5,74
movie,5,64
movies,6,83
moving,6,80
mow,3,51
mowed,5,60
mower,5,74
mowers,6,93
mowing,6,81
moxie,5,66
mu,2,34
much,4,45
muchacho,8,72
muchachos,9,91
muck,4,48
muckraker,9,101
mucous,6,92
mucus,5,77
mud,3,38
muddle,6,59
muddy,5,67
muff,4,46
muffin,6,69
muffins,7,88
muffled,7,67
muffler,7,81
mug,3,41
mugged,6,57
mugger,6,71
muggers,7,90
mugging,7,78
muggings,8,97
muggy,5,73
mugs,4,60
mulberry,8,114
mulch,5,57
mule,4,51
mules,5,70
muley,5,76
mulled,6,67
muller,6,81
mullet,6,83
mulligan,8,89
mulling,7,88
multimedia,10,107
multimillion,12,159
multinational,13,161
multiple,8,108
multiples,9,127
multiplex,9,132
multiplication,14,174
multiplied,10,121
multiply,8,128
multitude,9,125
mum,3,47
mumble,6,66
mumbled,7,70
mumbles,7,85
mumbling,8,91
mummies,7,93
mummy,5,85
mumps,5,82
mums,4,66
munch,5,59
munching,8,89
munchkin,8,93
munchkins,9,112
mundane,7,72
munitions,9,134
mural,5,65
murals,6,84
murder,6,79
murdered,8,88
murderer,8,102
murderers,9,121
murderess,9,122
murdering,9,109
murderous,9,134
murders,7,98
murky,5,88
murmur,6,104
murphy,6,101
muscle,6,73
muscled,7,77
muscles,7,92
muscular,8,108
muse,4,58
muses,5,77
museum,6,92
museums,7,111
mush,4,61
mushroom,8,122
mushrooms,9,141
mushy,5,86
music,5,65
musical,7,78
musicals,8,97
musician,8,89
musicians,9,108
musing,6,83
musket,6,89
musketeer,9,117
musketeers,10,136
muskie,6,78
muskrat,7,103
muss,4,72
mussels,7,108
must,4,73
mustache,8,90
mustang,7,95
mustangs,8,114
mustard,7,96
muster,6,96
mutant,6,89
mutants,7,108
mutated,7,84
mutating,8,105
mute,4,59
mutilate,8,101
mutilated,9,105
mutilation,10,134
mutiny,6,102
mutt,4,74
mutton,6,103
mutual,6,88
mutually,8,125
muumuu,6,110
muzzle,6,103
my,2,38
myriad,6,70
myrtle,6,93
myself,6,80
mysteries,9,133
mysterious,10,164
mysteriously,12,201
mystery,7,125
mystic,6,89
mystical,8,102
mysticism,9,130
mystified,9,110
mystifying,10,147
myth,4,66
mythic,6,78
mythical,8,91
mythological,12,140
mythology,9,140
myths,5,85
na,2,15
nacho,5,41
nachos,6,60
nada,4,20
nag,3,22
nagged,6,38
nagging,7,59
nah,3,23
nail,4,36
nailed,6,45
nailing,7,66
nails,5,55
naive,5,51
naivete,7,76
naked,5,35
nam,3,28
name,4,33
named,5,37
nameless,8,88
namely,6,70
names,5,52
namesake,8,69
nametag,7,61
naming,6,58
nana,4,30
nance,5,37
nancy,5,57
nannies,7,76
nanny,5,68
nanosecond,10,104
nanotechnology,14,168
nap,3,31
napalm,6,57
naphthalene,11,104
napkin,6,65
napkins,7,84
napoleon,8,92
napping,7,77
nappy,5,72
naps,4,50
narc,4,36
narcissism,10,124
narcissist,10,131
narcissistic,12,143
narcolepsy,10,128
narcotic,8,83
narcotics,9,102
narrative,9,108
narrator,8,105
narrow,6,89
narrowed,8,98
narrowing,9,119
narrowly,8,126
narrows,7,108
narwhal,7,77
nary,4,58
nasal,5,47
nastiest,8,107
nasty,5,79
nation,6,73
national,8,86
nationally,10,123
nationals,9,105
nations,7,92
native,6,71
natives,7,90
nativity,8,120
natty,5,80
natural,7,87
naturally,9,124
nature,6,79
natured,7,83
naught,6,71
naughty,7,96
nausea,6,61
nauseated,9,90
nauseating,10,111
nauseous,8,115
nautical,8,81
nautilus,8,117
naval,5,50
navigate,8,79
navigating,10,104
navigation,10,112
navigational,12,125
navigator,9,107
navy,4,62
naw,3,38
nay,3,40
nazi,4,50
nazis,5,69
ne,2,19
near,4,38
nearby,6,65
nearest,7,82
nearly,6,75
neat,4,40
neatly,6,77
neatness,8,97
nebula,6,55
necessarily,11,130
necessary,9,109
necessity,9,119
neck,4,33
necking,7,63
necklace,8,54
necklaces,9,73
neckline,8,73
necks,5,52
necromancer,11,109
necrosis,8,102
nectar,6,61
nee,3,24
need,4,28
needed,6,37
neediness,9,94
needing,7,58
needle,6,45
needlepoint,11,119
needles,7,64
needless,8,83
needlessly,10,120
needs,5,47
needy,5,53
nefarious,9,108
negate,6,52
negative,8,83
negatively,10,120
negatives,9,102
negativity,10,132
neglect,7,66
neglected,9,75
neglectful,10,105
neglecting,10,96
negligee,8,64
negligence,10,81
negligent,9,93
negligible,10,82
negotiable,10,90
negotiate,9,96
negotiated,10,100
negotiating,11,121
negotiation,11,129
negotiations,12,148
negotiator,10,124
neighbor,8,78
neighborhood,12,120
neighborhoods,13,139
neighboring,11,108
neighborly,10,115
neighbors,9,97
neighbour,9,99
neighbours,10,118
neither,7,79
nellie,6,57
nelly,5,68
nelson,6,79
neon,4,48
neonatal,8,82
nephew,6,71
nephews,7,90
nepotism,8,111
nerd,4,41
nerds,5,60
nerdy,5,66
nerve,5,64
nerves,6,83
nervous,7,114
nervously,9,151
nervousness,11,171
ness,4,57
nest,4,58
net,3,39
nether,6,70
network,7,106
networking,10,136
networks,8,125
neural,6,71
neurological,12,132
neurologist,11,155
neurology,9,132
neuroses,8,116
neurosis,8,120
neurosurgeon,12,172
neurosurgery,12,186
neurotic,8,105
neutered,8,92
neutral,7,91
neutralize,10,131
neutralized,11,135
neutron,7,107
neve,4,46
never,5,64
nevermore,9,115
nevertheless,12,152
new,3,42
newborn,7,91
newborns,8,110
newcomer,8,96
newcomers,9,115
newest,6,86
newfound,8,102
newly,5,79
newlywed,8,111
newlyweds,9,130
news,4,61
newscast,8,104
newsletter,10,141
newsman,7,89
newspaper,9,117
newspapers,10,136
newsroom,8,122
newsstand,9,119
newsstands,10,138
newt,4,62
newton,6,91
next,4,63
nexus,5,83
nibble,6,44
nibbling,8,69
nice,4,31
nicely,6,68
nicer,5,49
nicest,6,70
niceties,8,84
niche,5,39
nick,4,37
nicked,6,46
nickel,6,54
nickels,7,73
nickname,8,70
nicknamed,9,74
nicknames,9,89
nicks,5,56
nicotine,8,89
niece,5,36
nieces,6,55
nifty,5,74
nigger,6,60
niggers,7,79
nigh,4,38
night,5,58
nightcap,8,78
nightclub,9,96
nightfall,9,89
nightgown,9,117
nighthawk,9,101
nightingale,11,106
nightlife,9,90
nightly,7,95
nightmare,9,95
nightmares,10,114
nightmarish,11,126
nights,6,77
nightstand,10,116
nightstick,10,120
nighttime,9,105
nighty,6,83
nihilist,8,100
nil,3,35
nimrod,6,73
nine,4,42
nines,5,61
nineteen,8,86
nineteenth,10,114
nineties,8,95
ninety,6,87
ninja,5,48
ninny,5,76
ninth,5,65
nip,3,39
nipped,6,64
nipper,6,78
nipping,7,85
nipple,6,72
nipples,7,91
nippy,5,80
nirvana,7,79
nite,4,48
nitrogen,8,102
nitroglycerin,13,169
nitrous,7,116
nitty,5,88
nitwit,6,95
nix,3,47
nixed,5,56
no,2,29
nobility,8,106
noble,5,48
nobleman,8,76
nobodies,8,83
nobody,6,75
nocturnal,9,118
nod,3,33
nodded,6,46
nodding,7,67
node,4,38
nodes,5,57
nods,4,52
nodules,7,90
noel,4,46
noggin,6,66
noh,3,37
noir,4,56
noise,5,62
noises,6,81
noisy,5,82
nomad,5,47
nomadic,7,59
nomads,6,66
nome,4,47
nominal,7,78
nominate,8,91
nominated,9,95
nominating,10,116
nomination,10,124
nominations,11,143
nominee,7,75
nominees,8,94
nonchalant,10,102
none,4,48
nonetheless,11,136
nonexistent,11,159
nonissue,8,116
nonnegotiable,13,133
nonsense,8,105
nonsensical,11,125
nonstop,7,113
nonviolent,10,140
noo,3,44
noodle,6,65
noodles,7,84
noon,4,58
noose,5,68
nope,4,50
nor,3,47
nordic,6,63
norland,7,78
norm,4,60
normal,6,73
normalcy,8,101
normally,8,110
north,5,75
northeast,9,120
northeastern,12,157
norther,7,98
northern,8,112
northwest,9,142
northwestern,12,179
nos,3,48
nose,4,53
nosebleeds,10,100
nosed,5,57
nosedive,8,93
noses,5,72
nosey,5,78
nosh,4,56
nosing,6,78
nostalgia,9,98
nostalgic,9,100
nostril,7,107
nostrils,8,126
nosy,4,73
not,3,49
notable,7,69
notably,7,89
notary,6,93
notation,8,108
notch,5,60
notches,7,84
note,4,54
notebook,8,97
noted,5,58
notepad,7,75
notes,5,73
nothing,7,87
nothings,8,106
notice,6,66
noticeable,10,86
noticeably,10,106
noticed,7,70
notices,7,85
noticing,8,91
notification,12,135
notified,8,82
notify,6,89
noting,6,79
notion,6,87
notions,7,106
notorious,9,146
notoriously,11,183
notwithstanding,15,197
nougat,6,78
noun,4,64
nourish,7,104
nourishing,10,134
nourishment,11,156
nous,4,69
nouveau,7,99
nova,4,52
novel,5,68
novelist,8,116
novels,6,87
novelty,7,113
novocaine,9,98
now,3,52
nowadays,8,102
nowhere,7,88
noxious,7,117
nozzle,6,98
nu,2,35
nuance,6,58
nuances,7,77
nub,3,37
nubile,6,63
nuclear,7,74
nude,4,44
nudes,5,63
nudge,5,51
nudie,5,53
nudist,6,87
nudity,6,93
nuggets,7,93
nuisance,8,86
nuke,4,51
nuked,5,55
nukes,5,70
numb,4,50
number,6,73
numbered,8,82
numbers,7,92
numbing,7,80
numbness,8,107
numerous,8,126
nun,3,49
nunnery,7,111
nuns,4,68
nuptial,7,93
nuptials,8,112
nurse,5,77
nursed,6,81
nursery,7,120
nurses,6,96
nursing,7,102
nurtured,8,121
nurturing,9,142
nut,3,55
nutcase,7,83
nutcracker,10,114
nuthouse,8,123
nutmeg,6,80
nutrition,9,140
nutritional,11,153
nutritionist,12,188
nutritious,10,166
nuts,4,74
nutshell,8,111
nuttier,7,107
nutty,5,100
nylon,5,80
nylons,6,99
nymph,5,76
nympho,6,91
nymphomaniac,12,132
oaf,3,22
oak,3,27
oaks,4,46
oar,3,34
oars,4,53
oasis,5,63
oath,4,44
oaths,5,63
oatmeal,7,67
oats,4,55
obese,5,46
obey,4,47
obeyed,6,56
obeying,7,77
obi,3,26
obits,5,65
obituary,8,111
object,6,55
objected,8,64
objecting,9,85
objection,9,93
objectionable,13,113
objections,10,112
objective,9,91
objectives,10,110
objectivity,11,140
objects,7,74
obligated,9,75
obligation,10,104
obligations,11,123
obligatory,10,124
oblige,6,50
obliged,7,54
oblique,7,81
obliterate,10,107
obliterated,11,111
oblivion,8,98
oblivious,9,124
obnoxious,9,134
oboe,4,37
obscene,7,63
obscenities,11,120
obscenity,9,112
obscure,7,83
obscured,8,87
obscurity,9,132
observable,10,101
observant,9,116
observation,11,140
observations,12,159
observatory,11,160
observe,7,86
observed,8,90
observer,8,104
observers,9,123
observing,9,111
obsess,6,79
obsessed,8,88
obsessing,9,109
obsession,9,117
obsessions,10,136
obsessive,9,115
obsessively,11,152
obsolete,8,93
obstacle,8,77
obstacles,9,96
obstetrician,12,135
obstinate,9,105
obstructed,10,127
obstruction,11,156
obtain,6,61
obtained,8,70
obtuse,6,82
obvious,7,103
obviously,9,140
occasion,8,79
occasional,10,92
occasionally,12,129
occasions,9,98
occult,6,74
occupancy,9,101
occupant,8,93
occupants,9,112
occupation,10,117
occupational,12,130
occupations,11,136
occupied,8,76
occupy,6,83
occupying,9,113
occur,5,60
occurred,8,87
occurrence,10,105
occurrences,11,124
occurs,6,79
ocean,5,38
oceanographic,13,115
oceans,6,57
octane,6,58
octopus,7,109
od,2,19
odd,3,23
oddball,7,50
oddest,6,67
oddly,5,60
odds,4,42
ode,3,24
odious,6,83
odor,4,52
odorless,8,107
odyssey,7,112
oedipal,7,62
of,2,21
off,3,27
offbeat,7,55
offence,7,54
offend,6,50
offended,8,59
offender,8,73
offenders,9,92
offending,9,80
offends,7,69
offense,7,70
offensive,9,101
offer,5,50
offered,7,59
offering,8,80
offerings,9,99
offers,6,69
office,6,44
officer,7,62
officers,8,81
offices,7,63
official,8,61
officially,10,98
officials,9,80
officiate,9,74
offing,6,57
offs,4,46
offset,6,71
offshore,8,92
offspring,9,110
often,5,60
oftentimes,10,126
ogle,4,39
ogling,6,64
ogre,4,45
ogres,5,64
oh,2,23
ohm,3,36
oho,3,38
oil,3,36
oiled,5,45
oils,4,55
oily,4,61
oink,4,49
ointment,8,110
okay,4,52
okayed,6,61
okeydokey,9,116
okra,4,45
old,3,31
olden,5,50
